说明,本表对应 Blood/ResNet/K=3/beta=0.01 的 output-probability t-SNE；LAMP-Merge 概率由 gamma=0.55、s=18.75、tau=2.5、lambda=4.25 正式 checkpoint 重新推理，三个通用基线保持论文原实验概率向量，并在共享 t-SNE 平面重新拟合。
Dataset,Backbone,K,Beta,Method,Sample index,True label,t-SNE x,t-SNE y,Probability class 0,Probability class 1,Probability class 2,Probability class 3,Probability class 4,Probability class 5,Probability class 6,Probability class 7
Blood,ResNet,3,0.01,LAMP-Merge,12,6,-44.099380,-67.087387,0.00000125,0.19420271,0.00007200,0.00086111,0.00000546,0.00060948,0.80424798,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,13,6,-44.595448,-64.414032,0.00000450,0.15520968,0.00000459,0.00834777,0.00000384,0.03037292,0.80605662,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,14,2,-12.729273,-75.912033,0.00068398,0.28978980,0.18051895,0.34966257,0.10885559,0.00150732,0.06795088,0.00103093
Blood,ResNet,3,0.01,LAMP-Merge,15,4,-2.460316,39.698753,0.00217773,0.00031888,0.01091766,0.00790213,0.95945400,0.00000944,0.00002251,0.01919767
Blood,ResNet,3,0.01,LAMP-Merge,16,4,3.934203,46.445328,0.00056194,0.00315802,0.32117659,0.02008116,0.61771119,0.00004648,0.00121779,0.03604684
Blood,ResNet,3,0.01,LAMP-Merge,17,3,59.644382,14.098230,0.01060697,0.02906242,0.04143924,0.63086885,0.27714968,0.00020624,0.00881592,0.00185063
Blood,ResNet,3,0.01,LAMP-Merge,18,6,-50.678493,-56.520237,0.00000043,0.10834162,0.00029019,0.00019798,0.00000551,0.00000254,0.89115691,0.00000471
Blood,ResNet,3,0.01,LAMP-Merge,19,4,0.349418,36.949604,0.03027220,0.00007340,0.00008325,0.01759146,0.95050353,0.00147052,0.00000399,0.00000172
Blood,ResNet,3,0.01,LAMP-Merge,20,6,-17.248056,-81.147186,0.00021345,0.53348821,0.00011070,0.02073093,0.00208490,0.12891641,0.31445536,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,21,6,-70.329056,30.746372,0.00000504,0.07069713,0.32774928,0.00031270,0.00427227,0.00000039,0.26943880,0.32752430
Blood,ResNet,3,0.01,LAMP-Merge,22,3,69.652664,10.759127,0.08089562,0.00001285,0.00000013,0.88880056,0.00919416,0.02109628,0.00000038,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,23,5,34.154095,17.763992,0.31627929,0.00008055,0.00000158,0.02448224,0.00248624,0.65666777,0.00000226,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,24,1,-15.855942,-86.750427,0.00001111,0.68537927,0.00000027,0.00007497,0.00001978,0.03647428,0.27804029,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,25,6,-51.709774,-61.145245,0.00003752,0.10708375,0.00000469,0.00086972,0.00001755,0.06139224,0.83059454,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,26,7,-89.898987,-5.183760,0.00000000,0.00000016,0.00208647,0.00000001,0.00000985,0.00000000,0.00000029,0.99790323
Blood,ResNet,3,0.01,LAMP-Merge,27,1,39.300877,23.072451,0.02073360,0.15847903,0.00001610,0.14264725,0.00014762,0.58236080,0.09561551,0.00000008
Blood,ResNet,3,0.01,LAMP-Merge,28,3,53.655704,29.706263,0.00833888,0.00244045,0.00000258,0.65307027,0.00139444,0.33392486,0.00082849,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,29,1,38.630836,24.984007,0.00434189,0.50368792,0.00000799,0.00483937,0.00210631,0.47485268,0.01016383,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,30,1,46.592579,8.311609,0.00010149,0.02497931,0.00000001,0.00382848,0.00000216,0.96228284,0.00880570,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,31,7,-88.539726,3.595256,0.00000001,0.00000026,0.00516366,0.00000006,0.00002238,0.00000000,0.00000067,0.99481308
Blood,ResNet,3,0.01,LAMP-Merge,32,6,-56.011837,-46.806446,0.00000647,0.06549968,0.00269131,0.00158939,0.00033491,0.00039789,0.92948020,0.00000014
Blood,ResNet,3,0.01,LAMP-Merge,33,5,37.875744,14.184060,0.08702920,0.00179593,0.00026181,0.02657422,0.00411767,0.87753648,0.00268363,0.00000099
Blood,ResNet,3,0.01,LAMP-Merge,34,6,-61.166836,-38.566525,0.00000006,0.04427227,0.00031159,0.00004153,0.00000218,0.00000063,0.95536900,0.00000274
Blood,ResNet,3,0.01,LAMP-Merge,35,6,44.274399,19.311449,0.02504100,0.01218410,0.00014386,0.18601450,0.00705560,0.76118946,0.00837106,0.00000034
Blood,ResNet,3,0.01,LAMP-Merge,36,0,19.904150,23.747871,0.96393561,0.00003826,0.00000050,0.02751552,0.00123824,0.00726900,0.00000278,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,37,5,71.362129,16.455236,0.06376006,0.00175561,0.00000019,0.79724211,0.00540582,0.13181502,0.00002110,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,38,1,15.386187,-90.562782,0.00000956,0.95909959,0.00003756,0.00255934,0.00012839,0.00040201,0.03776358,0.00000005
Blood,ResNet,3,0.01,LAMP-Merge,39,6,-68.059525,-31.148106,0.00000009,0.01498913,0.00001696,0.00001618,0.00000040,0.00000577,0.98497158,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,40,1,-5.414104,-92.562660,0.00004195,0.80601257,0.02766115,0.00172251,0.00475434,0.00004819,0.15863459,0.00112463
Blood,ResNet,3,0.01,LAMP-Merge,41,7,-86.260963,11.566036,0.00002521,0.00000538,0.01121813,0.00001353,0.00376906,0.00000016,0.00000423,0.98496443
Blood,ResNet,3,0.01,LAMP-Merge,42,7,-80.838249,24.554291,0.00037035,0.00007188,0.04345386,0.00009673,0.04814529,0.00000087,0.00007719,0.90778381
Blood,ResNet,3,0.01,LAMP-Merge,43,7,-85.221184,-12.914542,0.00000000,0.00000006,0.00075209,0.00000001,0.00001168,0.00000000,0.00000028,0.99923587
Blood,ResNet,3,0.01,LAMP-Merge,44,3,43.981377,5.290314,0.00500418,0.00001489,0.00000005,0.00534622,0.00008632,0.98954517,0.00000321,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,45,3,71.932495,-7.229074,0.00004507,0.03511805,0.00005540,0.94364130,0.00051382,0.01163508,0.00899096,0.00000029
Blood,ResNet,3,0.01,LAMP-Merge,46,0,18.434685,18.235590,0.99745685,0.00000013,0.00000002,0.00096451,0.00114612,0.00043241,0.00000001,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,47,1,-2.044224,-94.413452,0.00000151,0.85243899,0.00014810,0.00010138,0.00003972,0.00008592,0.14718427,0.00000018
Blood,ResNet,3,0.01,LAMP-Merge,48,3,70.193192,-33.590626,0.00175433,0.00234785,0.00060783,0.98984933,0.00473903,0.00022489,0.00047617,0.00000056
Blood,ResNet,3,0.01,LAMP-Merge,49,1,-5.651262,-93.533920,0.00003948,0.81935596,0.00087021,0.00950679,0.00076617,0.00027464,0.16918172,0.00000500
Blood,ResNet,3,0.01,LAMP-Merge,50,5,10.660884,41.761814,0.04602766,0.00166633,0.00009779,0.37965044,0.54960519,0.02291068,0.00004135,0.00000056
Blood,ResNet,3,0.01,LAMP-Merge,51,1,14.393306,-90.874535,0.00000178,0.95444775,0.00000022,0.00307877,0.00000085,0.00129473,0.04117589,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,52,2,-49.557133,61.505657,0.00047739,0.01033368,0.88019317,0.00256295,0.04493887,0.00130890,0.05939278,0.00079228
Blood,ResNet,3,0.01,LAMP-Merge,53,0,53.426594,32.070225,0.11843896,0.02980292,0.00000217,0.58305258,0.00381821,0.26433268,0.00055240,0.00000007
Blood,ResNet,3,0.01,LAMP-Merge,54,3,71.463402,-21.642225,0.00256372,0.00032747,0.00055673,0.97008026,0.02625326,0.00013942,0.00003879,0.00004033
Blood,ResNet,3,0.01,LAMP-Merge,55,5,40.034786,10.912968,0.04169755,0.00013751,0.00002852,0.00521954,0.00056490,0.95216489,0.00018676,0.00000041
Blood,ResNet,3,0.01,LAMP-Merge,56,2,-68.165001,37.504837,0.00003609,0.00004424,0.86401933,0.00005833,0.00785942,0.00000127,0.00040988,0.12757151
Blood,ResNet,3,0.01,LAMP-Merge,57,1,-4.086032,-85.721359,0.00277709,0.81007189,0.00001938,0.16265376,0.00584243,0.00644246,0.01219284,0.00000010
Blood,ResNet,3,0.01,LAMP-Merge,58,6,-26.596136,-79.868530,0.00002211,0.47498873,0.00577404,0.01955359,0.00073349,0.00013105,0.49879134,0.00000568
Blood,ResNet,3,0.01,LAMP-Merge,59,6,-46.043381,-62.704823,0.00810183,0.12828256,0.00435809,0.02132317,0.01083181,0.00178606,0.82522416,0.00009234
Blood,ResNet,3,0.01,LAMP-Merge,60,4,-4.890624,36.898098,0.00230209,0.00013433,0.00070731,0.00258090,0.99420255,0.00002943,0.00000267,0.00004074
Blood,ResNet,3,0.01,LAMP-Merge,61,3,49.909065,29.848942,0.05658067,0.01138578,0.00079394,0.49378628,0.00998556,0.35162464,0.07584195,0.00000118
Blood,ResNet,3,0.01,LAMP-Merge,62,6,-40.114845,-71.205925,0.00002815,0.24777864,0.00529089,0.00504163,0.00201375,0.00039466,0.73944825,0.00000402
Blood,ResNet,3,0.01,LAMP-Merge,63,7,-79.560440,28.604443,0.04417988,0.00000695,0.01814024,0.00234757,0.29776049,0.00004800,0.00001938,0.63749754
Blood,ResNet,3,0.01,LAMP-Merge,64,7,-89.983551,-4.545944,0.00000000,0.00000000,0.00225661,0.00000000,0.00000350,0.00000000,0.00000000,0.99773991
Blood,ResNet,3,0.01,LAMP-Merge,65,0,36.605698,31.585524,0.50603509,0.00044612,0.00034947,0.43569395,0.05554293,0.00167711,0.00005965,0.00019568
Blood,ResNet,3,0.01,LAMP-Merge,66,4,8.147385,35.775032,0.23757108,0.00015962,0.00016818,0.00499950,0.75522405,0.00164950,0.00004102,0.00018704
Blood,ResNet,3,0.01,LAMP-Merge,67,1,19.409115,-87.194969,0.00002382,0.97979182,0.00000179,0.00712387,0.00004496,0.00565271,0.00736106,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,68,7,-78.068016,24.694036,0.00000344,0.00002864,0.13016239,0.00000504,0.00095927,0.00000006,0.00006716,0.86877400
Blood,ResNet,3,0.01,LAMP-Merge,69,2,-72.730980,32.257835,0.00000483,0.00004364,0.51241291,0.00003879,0.02179455,0.00000002,0.00005126,0.46565402
Blood,ResNet,3,0.01,LAMP-Merge,70,1,6.842469,-93.239723,0.00002574,0.91173249,0.00005886,0.00217436,0.00017048,0.00196407,0.08387390,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,71,3,44.773369,19.970774,0.00271345,0.00324815,0.00000294,0.25859600,0.00159196,0.73232299,0.00152451,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,72,3,73.348358,-0.846335,0.00136818,0.04326057,0.00005338,0.91916233,0.01804608,0.01493142,0.00317765,0.00000045
Blood,ResNet,3,0.01,LAMP-Merge,73,4,4.228304,36.843056,0.08571458,0.00006856,0.00019978,0.02422048,0.88517511,0.00461572,0.00000346,0.00000232
Blood,ResNet,3,0.01,LAMP-Merge,74,3,42.553329,35.437313,0.09029598,0.13793936,0.00019778,0.51706672,0.05752011,0.10338908,0.09359043,0.00000057
Blood,ResNet,3,0.01,LAMP-Merge,75,6,-64.682678,-35.085957,0.00000098,0.03089943,0.00050307,0.00008517,0.00002560,0.00000620,0.96847433,0.00000534
Blood,ResNet,3,0.01,LAMP-Merge,76,1,-11.729142,-91.098160,0.00000057,0.76490271,0.00141082,0.00024977,0.00006950,0.00001669,0.23334803,0.00000187
Blood,ResNet,3,0.01,LAMP-Merge,77,0,19.513992,19.096495,0.99260420,0.00000012,0.00000000,0.00019453,0.00002290,0.00717826,0.00000000,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,78,6,-66.754272,-32.769005,0.00000203,0.02260379,0.00126704,0.00008766,0.00004323,0.00002180,0.97588605,0.00008851
Blood,ResNet,3,0.01,LAMP-Merge,79,1,-6.443575,-93.463425,0.00002132,0.81436527,0.00001056,0.00419528,0.00003950,0.00097766,0.18039033,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,80,3,66.869560,-10.749456,0.03086838,0.00001945,0.00004643,0.95965719,0.00880348,0.00059736,0.00000165,0.00000606
Blood,ResNet,3,0.01,LAMP-Merge,81,5,56.420162,29.776417,0.00839748,0.00049655,0.00000310,0.74050462,0.01256769,0.23802313,0.00000749,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,82,1,29.693693,30.904791,0.41094565,0.08099411,0.00175280,0.04920531,0.07603702,0.23374815,0.14690329,0.00041372
Blood,ResNet,3,0.01,LAMP-Merge,83,7,-75.184784,29.742834,0.00019122,0.00248559,0.30489001,0.00065919,0.02745795,0.00001098,0.00058071,0.66372436
Blood,ResNet,3,0.01,LAMP-Merge,84,3,82.269623,16.033388,0.02051868,0.05589313,0.00003179,0.84826964,0.00417824,0.04292215,0.02818557,0.00000074
Blood,ResNet,3,0.01,LAMP-Merge,85,4,4.277823,39.819279,0.03853662,0.02395112,0.00563610,0.06594475,0.85144764,0.00916149,0.00519864,0.00012364
Blood,ResNet,3,0.01,LAMP-Merge,86,7,-82.990608,-15.011331,0.00000003,0.00000004,0.00050544,0.00000007,0.00004007,0.00000000,0.00000005,0.99945432
Blood,ResNet,3,0.01,LAMP-Merge,87,1,6.080499,-90.313080,0.00237308,0.88443440,0.00123507,0.00282624,0.02077389,0.02253403,0.06582165,0.00000167
Blood,ResNet,3,0.01,LAMP-Merge,88,0,21.182777,22.945118,0.96751159,0.00001091,0.00000007,0.00134776,0.00015423,0.03097416,0.00000130,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,89,3,64.280350,8.498595,0.00674475,0.00400828,0.00342663,0.88636452,0.09806479,0.00091986,0.00020404,0.00026709
Blood,ResNet,3,0.01,LAMP-Merge,90,2,-68.923607,36.704220,0.00000014,0.00000144,0.82614374,0.00000125,0.00032231,0.00000000,0.00001023,0.17352092
Blood,ResNet,3,0.01,LAMP-Merge,91,2,-57.732502,48.999557,0.00008719,0.00081625,0.96808887,0.00005742,0.02830991,0.00000782,0.00120097,0.00143153
Blood,ResNet,3,0.01,LAMP-Merge,92,4,-0.012673,39.000019,0.00492334,0.00024681,0.00142106,0.03271069,0.96047157,0.00005636,0.00001100,0.00015918
Blood,ResNet,3,0.01,LAMP-Merge,93,4,1.178535,39.225342,0.01886257,0.00041817,0.00009884,0.04295900,0.93559849,0.00205105,0.00001110,0.00000080
Blood,ResNet,3,0.01,LAMP-Merge,94,3,65.179214,-30.693268,0.00099330,0.00803902,0.00000784,0.98877954,0.00086252,0.00098665,0.00033117,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,95,1,-31.016119,-77.686668,0.00002595,0.40443277,0.00027109,0.00381576,0.00034733,0.00206649,0.58903915,0.00000149
Blood,ResNet,3,0.01,LAMP-Merge,96,2,-23.991215,73.002121,0.00040525,0.05881603,0.75927174,0.00274633,0.02447052,0.00055734,0.14927581,0.00445702
Blood,ResNet,3,0.01,LAMP-Merge,97,1,6.473322,-93.317703,0.00000083,0.90843964,0.00000002,0.00013811,0.00000020,0.00605548,0.08536568,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,98,7,-90.158546,-3.314070,0.00000001,0.00000017,0.00255698,0.00000021,0.00005852,0.00000000,0.00000063,0.99738353
Blood,ResNet,3,0.01,LAMP-Merge,99,7,-83.364250,-14.588838,0.00000000,0.00000000,0.00056509,0.00000000,0.00000036,0.00000000,0.00000000,0.99943453
Blood,ResNet,3,0.01,LAMP-Merge,100,2,-31.097486,67.337929,0.00100383,0.00029849,0.83762354,0.00077435,0.13310380,0.00010412,0.00189681,0.02519504
Blood,ResNet,3,0.01,LAMP-Merge,101,5,45.119392,3.485264,0.00273877,0.00006620,0.00000354,0.00340451,0.00002155,0.99373287,0.00003250,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,102,5,59.962051,13.789959,0.00608119,0.03012788,0.00198894,0.68305498,0.27717772,0.00073533,0.00080762,0.00002632
Blood,ResNet,3,0.01,LAMP-Merge,103,4,-0.494938,40.004677,0.00618387,0.00366310,0.02315095,0.01429535,0.94043589,0.00751252,0.00438770,0.00037063
Blood,ResNet,3,0.01,LAMP-Merge,104,7,-80.185928,-17.227533,0.00000004,0.00000000,0.00017814,0.00000002,0.00001275,0.00000000,0.00000000,0.99980909
Blood,ResNet,3,0.01,LAMP-Merge,105,3,69.641563,10.702651,0.09302712,0.00045435,0.00000325,0.89514226,0.00280911,0.00855350,0.00001041,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,106,2,-59.818417,48.347252,0.00005151,0.00006921,0.98620772,0.00055329,0.01246587,0.00000793,0.00028916,0.00035522
Blood,ResNet,3,0.01,LAMP-Merge,107,6,-61.687260,-40.189716,0.00000782,0.04073687,0.00000374,0.00005607,0.00000901,0.01050296,0.94868356,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,108,2,-20.142618,77.944237,0.00074001,0.03901416,0.73463398,0.05519790,0.09870164,0.03089266,0.04078804,0.00003153
Blood,ResNet,3,0.01,LAMP-Merge,109,3,57.777344,29.456438,0.06242799,0.00007427,0.00000115,0.77234012,0.00073907,0.16440056,0.00001673,0.00000006
Blood,ResNet,3,0.01,LAMP-Merge,110,3,62.895817,11.387180,0.01029036,0.02222503,0.00464421,0.82175380,0.11476530,0.02474279,0.00156377,0.00001479
Blood,ResNet,3,0.01,LAMP-Merge,111,6,-32.543644,-73.483131,0.00001405,0.27831498,0.18571770,0.00682667,0.00150975,0.00003020,0.52707827,0.00050841
Blood,ResNet,3,0.01,LAMP-Merge,112,5,29.857754,26.833399,0.51474875,0.00052313,0.00001040,0.01471245,0.02545596,0.44440860,0.00014052,0.00000029
Blood,ResNet,3,0.01,LAMP-Merge,113,6,-36.720436,-63.067352,0.00030275,0.02287224,0.23690023,0.00190783,0.01395509,0.00006721,0.67533976,0.04865494
Blood,ResNet,3,0.01,LAMP-Merge,114,6,-63.102520,-37.859898,0.00013162,0.03395879,0.00072127,0.00143134,0.00028637,0.00769785,0.95577222,0.00000058
Blood,ResNet,3,0.01,LAMP-Merge,115,0,18.533485,18.055149,0.99820971,0.00000003,0.00000004,0.00042706,0.00073759,0.00062569,0.00000000,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,116,0,20.842020,23.135309,0.96417004,0.00004042,0.00000033,0.00807193,0.00470817,0.02300637,0.00000263,0.00000005
Blood,ResNet,3,0.01,LAMP-Merge,117,6,-16.094614,-87.564659,0.00000091,0.70934081,0.00000170,0.00029383,0.00000090,0.00063819,0.28972366,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,118,2,-57.336723,50.598057,0.00010957,0.00107065,0.94886327,0.00025323,0.02486794,0.00001215,0.02276098,0.00206228
Blood,ResNet,3,0.01,LAMP-Merge,119,6,-45.368118,-62.764103,0.00000504,0.14001761,0.03209916,0.00020937,0.00012276,0.00000560,0.82731146,0.00022894
Blood,ResNet,3,0.01,LAMP-Merge,120,5,45.662212,4.466570,0.00098999,0.00002917,0.00000000,0.00627219,0.00001029,0.99269801,0.00000038,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,121,7,-84.689705,-15.085154,0.00000118,0.00000003,0.00045924,0.00000037,0.00025723,0.00000000,0.00000006,0.99928194
Blood,ResNet,3,0.01,LAMP-Merge,122,3,64.768417,7.418730,0.01015734,0.00129721,0.00052711,0.90855604,0.06288173,0.01651494,0.00005583,0.00000980
Blood,ResNet,3,0.01,LAMP-Merge,123,1,-9.270870,-83.675461,0.00044968,0.53865111,0.15224451,0.05348200,0.15634795,0.00005037,0.09298642,0.00578792
Blood,ResNet,3,0.01,LAMP-Merge,124,7,-88.547562,-9.109534,0.00000001,0.00000001,0.00128895,0.00000001,0.00001522,0.00000000,0.00000002,0.99869579
Blood,ResNet,3,0.01,LAMP-Merge,125,1,12.116184,-90.460052,0.00045695,0.93728954,0.00026440,0.00750007,0.00790385,0.00273634,0.04384865,0.00000030
Blood,ResNet,3,0.01,LAMP-Merge,126,4,35.215305,16.811102,0.21368855,0.00154500,0.00001009,0.00988816,0.05067926,0.72387594,0.00031298,0.00000003
Blood,ResNet,3,0.01,LAMP-Merge,127,7,-86.271446,9.600411,0.00000024,0.00000365,0.01062517,0.00000169,0.00042146,0.00000000,0.00000684,0.98894101
Blood,ResNet,3,0.01,LAMP-Merge,128,2,-56.042263,50.210205,0.00002445,0.00344615,0.95108479,0.00045991,0.04353701,0.00001001,0.00115053,0.00028713
Blood,ResNet,3,0.01,LAMP-Merge,129,2,-24.147856,72.769348,0.00011091,0.02980623,0.81442893,0.00125803,0.00812064,0.00052423,0.14563966,0.00011132
Blood,ResNet,3,0.01,LAMP-Merge,130,2,-64.196426,41.872467,0.00029811,0.00017836,0.95570183,0.00093339,0.01582829,0.00000682,0.00067014,0.02638312
Blood,ResNet,3,0.01,LAMP-Merge,131,5,24.307686,28.064154,0.76730973,0.00035418,0.00000262,0.04816136,0.07863360,0.10553492,0.00000362,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,132,5,48.948517,26.885227,0.00199061,0.04346546,0.00000015,0.43078402,0.00021862,0.52086306,0.00267808,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,133,4,0.947865,37.074177,0.03718854,0.00007457,0.00322775,0.02032547,0.93831813,0.00039236,0.00001356,0.00045970
Blood,ResNet,3,0.01,LAMP-Merge,134,1,7.920570,-92.974800,0.00001691,0.91880685,0.00002315,0.00077572,0.00015176,0.00033705,0.07988852,0.00000006
Blood,ResNet,3,0.01,LAMP-Merge,135,3,46.742096,-2.710285,0.00007552,0.00000002,0.00000000,0.00007749,0.00000002,0.99984694,0.00000000,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,136,1,-7.295306,-87.241180,0.00142971,0.72373998,0.00032918,0.10644606,0.00638673,0.00676661,0.15490174,0.00000005
Blood,ResNet,3,0.01,LAMP-Merge,137,4,-0.164633,36.699223,0.02799559,0.00110628,0.00223656,0.01066695,0.95551616,0.00205004,0.00039999,0.00002841
Blood,ResNet,3,0.01,LAMP-Merge,138,1,-11.781262,-89.037041,0.00035666,0.73790026,0.00077822,0.03270928,0.00229184,0.00184124,0.22411819,0.00000431
Blood,ResNet,3,0.01,LAMP-Merge,139,2,-76.715645,26.820887,0.00000000,0.00000014,0.18691115,0.00000003,0.00003647,0.00000000,0.00000054,0.81305176
Blood,ResNet,3,0.01,LAMP-Merge,140,1,15.229055,-90.191467,0.00000147,0.95692897,0.00000029,0.00073125,0.00000186,0.00803898,0.03429716,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,141,1,-26.786943,-76.518196,0.00008283,0.35303223,0.00003101,0.00067487,0.00015256,0.20060916,0.44541734,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,142,6,-70.448921,30.817411,0.00001027,0.06893808,0.36756754,0.00031006,0.00499656,0.00000081,0.22234136,0.33583528
Blood,ResNet,3,0.01,LAMP-Merge,143,6,-57.309601,-46.703056,0.00027526,0.05990393,0.00012758,0.00387772,0.00015741,0.00748979,0.92816824,0.00000009
Blood,ResNet,3,0.01,LAMP-Merge,144,1,40.329964,20.815195,0.01220389,0.16286452,0.00000073,0.05507091,0.00099937,0.76267618,0.00618444,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,145,4,9.058039,41.678982,0.00506194,0.01743583,0.00859719,0.31025526,0.65399027,0.00111557,0.00294994,0.00059404
Blood,ResNet,3,0.01,LAMP-Merge,146,1,-0.237361,-94.353409,0.00000093,0.86813664,0.00000889,0.00037684,0.00000704,0.00000391,0.13146561,0.00000002
Blood,ResNet,3,0.01,LAMP-Merge,147,1,-3.624654,-86.025200,0.00238769,0.76340055,0.00000451,0.12661900,0.00096693,0.06788863,0.03873257,0.00000001
Blood,ResNet,3,0.01,LAMP-Merge,148,3,35.965576,31.589581,0.53667617,0.00373752,0.00000916,0.33251870,0.02610137,0.10084539,0.00011142,0.00000023
Blood,ResNet,3,0.01,LAMP-Merge,149,1,-10.520456,-91.018898,0.00074928,0.76485789,0.00136525,0.01738768,0.00405918,0.00065503,0.21081769,0.00010805
Blood,ResNet,3,0.01,LAMP-Merge,150,1,-8.301672,-92.763000,0.00000588,0.79724061,0.00563867,0.00393943,0.00116150,0.00001705,0.19196941,0.00002743
Blood,ResNet,3,0.01,LAMP-Merge,151,6,-57.896008,-43.151749,0.00000001,0.05807299,0.00004463,0.00000320,0.00000036,0.00000016,0.94187403,0.00000456
Blood,ResNet,3,0.01,LAMP-Merge,152,2,-56.420399,49.961651,0.00002082,0.00116294,0.95630425,0.00097916,0.03947862,0.00005282,0.00190154,0.00009990
Blood,ResNet,3,0.01,LAMP-Merge,153,1,39.813736,21.585955,0.00074674,0.23432639,0.00000006,0.00507139,0.00003180,0.73551226,0.02431139,0.00000000
Blood,ResNet,3,0.01,LAMP-Merge,154,0,20.089199,21.287016,0.97974992,0.00000312,0.00000069,0.00276515,0.00513671,0.01234368,0.00000059,0.00000023
