dataset,backbone,num_clients,beta,method,sample_index,true_label,tsne_x,tsne_y,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,12,6,-44.161118,-62.900307,0.00000052,0.17991380,0.00003939,0.00055589,0.00000252,0.00038513,0.81910282,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,13,6,-44.746799,-60.275005,0.00000206,0.14251192,0.00000210,0.00630776,0.00000174,0.02514717,0.82602721,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,14,2,-14.513074,-74.322678,0.00046402,0.29424396,0.17760140,0.35951272,0.10354420,0.00127776,0.06263717,0.00071877
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,15,4,-4.589229,39.829357,0.00146628,0.00018889,0.00818506,0.00579788,0.96940124,0.00000514,0.00001118,0.01494442
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,16,4,1.950760,46.874084,0.00036158,0.00227990,0.31554949,0.01640005,0.63394523,0.00002854,0.00082505,0.03061011
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,17,3,59.989971,11.693530,0.00834867,0.02446482,0.03571798,0.65201849,0.27115139,0.00014819,0.00685392,0.00129656
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,18,6,-49.743500,-51.886574,0.00000016,0.09551974,0.00017239,0.00011465,0.00000251,0.00000128,0.90418714,0.00000212
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,19,4,-1.657839,37.321156,0.02432235,0.00003947,0.00004515,0.01363153,0.96096671,0.00099222,0.00000177,0.00000072
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,20,6,-19.488461,-79.055908,0.00013036,0.54892719,0.00006472,0.01717833,0.00148232,0.11986512,0.31235200,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,21,6,-70.202118,31.376986,0.00000243,0.06457215,0.33158743,0.00019899,0.00323637,0.00000019,0.26905268,0.33134973
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,22,3,69.853851,7.786282,0.07016595,0.00000622,0.00000005,0.90447193,0.00689836,0.01845730,0.00000014,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,23,5,30.918623,25.644226,0.32609105,0.00004784,0.00000072,0.02128375,0.00185573,0.65071988,0.00000106,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,24,1,-17.802637,-84.825348,0.00000546,0.70255369,0.00000010,0.00004184,0.00001010,0.02902110,0.26836762,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,25,6,-51.156811,-56.030376,0.00001977,0.09590232,0.00000215,0.00056510,0.00000879,0.05078550,0.85271633,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,26,7,-93.302223,-3.548239,0.00000000,0.00000005,0.00138380,0.00000000,0.00000457,0.00000000,0.00000011,0.99861145
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,27,1,37.229870,32.308193,0.01771253,0.15504821,0.00000853,0.13858408,0.00009070,0.59810883,0.09044710,0.00000003
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,28,3,53.065369,27.989321,0.00619582,0.00167066,0.00000112,0.64895499,0.00091963,0.34173006,0.00052775,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,29,1,38.177124,33.517113,0.00316841,0.50460976,0.00000383,0.00355707,0.00146467,0.47934675,0.00784948,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,30,1,43.253983,14.330903,0.00005683,0.02018979,0.00000000,0.00273068,0.00000094,0.97038221,0.00663942,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,31,7,-89.582909,4.871122,0.00000000,0.00000009,0.00364166,0.00000002,0.00001098,0.00000000,0.00000026,0.99634701
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,32,6,-54.087341,-41.561501,0.00000297,0.05556808,0.00184555,0.00105231,0.00019987,0.00026296,0.94106823,0.00000005
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,33,5,34.774387,21.222092,0.08507260,0.00135535,0.00017378,0.02400132,0.00328431,0.88403189,0.00208027,0.00000045
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,34,6,-61.451195,-35.732407,0.00000002,0.03637744,0.00018399,0.00002144,0.00000093,0.00000029,0.96341473,0.00000118
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,35,6,41.970398,25.599600,0.02174941,0.01008637,0.00008858,0.18467441,0.00563201,0.77101052,0.00675866,0.00000014
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,36,0,17.123768,25.168381,0.97210950,0.00001963,0.00000019,0.02189160,0.00080116,0.00517675,0.00000120,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,37,5,70.601479,16.372190,0.05481760,0.00118793,0.00000007,0.81115091,0.00394260,0.12889026,0.00001063,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,38,1,14.230957,-91.245041,0.00000447,0.96720093,0.00001925,0.00173862,0.00007144,0.00026994,0.03069537,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,39,6,-71.653191,-35.065392,0.00000003,0.01138139,0.00000819,0.00000779,0.00000015,0.00000289,0.98859942,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,40,1,-7.287459,-91.480598,0.00002228,0.82604837,0.02264146,0.00117171,0.00346047,0.00003020,0.14588188,0.00074357
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,41,7,-87.096336,12.648508,0.00001251,0.00000241,0.00835869,0.00000644,0.00261136,0.00000006,0.00000187,0.98900664
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,42,7,-78.878723,23.670856,0.00022387,0.00003895,0.03609054,0.00005347,0.04026068,0.00000039,0.00004203,0.92329013
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,43,7,-94.744896,-12.678587,0.00000000,0.00000002,0.00046577,0.00000000,0.00000548,0.00000000,0.00000010,0.99952865
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,44,3,40.776051,11.215323,0.00363543,0.00000734,0.00000002,0.00390114,0.00004784,0.99240679,0.00000143,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,45,3,71.203522,-9.464484,0.00002347,0.02851068,0.00002925,0.95404959,0.00031475,0.01040663,0.00666547,0.00000011
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,46,0,15.826519,19.483128,0.99840802,0.00000004,0.00000001,0.00060777,0.00073056,0.00025360,0.00000000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,47,1,-4.044277,-93.225990,0.00000064,0.86667717,0.00008454,0.00005643,0.00002077,0.00005319,0.13310714,0.00000007
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,48,3,70.966125,-37.891323,0.00115376,0.00157441,0.00037247,0.99313849,0.00333012,0.00014350,0.00028708,0.00000022
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,49,1,-7.593615,-92.218521,0.00002077,0.83611608,0.00056256,0.00720776,0.00049110,0.00018835,0.15541112,0.00000229
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,50,5,8.491205,42.627789,0.03978192,0.00115435,0.00005608,0.37769383,0.56042272,0.02086849,0.00002239,0.00000023
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,51,1,13.186375,-91.414795,0.00000075,0.96326327,0.00000008,0.00211971,0.00000034,0.00091635,0.03369948,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,52,2,-51.186081,56.344334,0.00029574,0.00785813,0.90019071,0.00177598,0.03769208,0.00093002,0.05074965,0.00050767
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,53,0,54.253506,30.043175,0.10841012,0.02488176,0.00000096,0.59350652,0.00277965,0.27006748,0.00035352,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,54,3,71.825348,-24.110863,0.00173787,0.00019352,0.00034085,0.97681254,0.02078174,0.00009288,0.00001988,0.00002073
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,55,5,36.799015,17.421572,0.03638797,0.00008198,0.00001531,0.00396556,0.00037006,0.95906526,0.00011364,0.00000017
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,56,2,-67.629974,38.073425,0.00001876,0.00002331,0.87951636,0.00003130,0.00584843,0.00000055,0.00025049,0.11431081
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,57,1,-5.864716,-84.998245,0.00194812,0.82960933,0.00000976,0.14967193,0.00430688,0.00501409,0.00943987,0.00000004
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,58,6,-27.778376,-76.541771,0.00001142,0.47684544,0.00432008,0.01586937,0.00047827,0.00008996,0.50238276,0.00000268
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,59,6,-46.122387,-58.195633,0.00611350,0.11636974,0.00315535,0.01716247,0.00833317,0.00130022,0.84751385,0.00005171
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,60,4,-6.906923,37.023174,0.00153918,0.00007432,0.00043714,0.00173880,0.99617189,0.00001675,0.00000114,0.00002082
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,61,3,49.915161,29.058617,0.04923279,0.00890270,0.00051981,0.49641481,0.00774000,0.36989620,0.06729325,0.00000050
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,62,6,-40.551975,-67.244980,0.00001459,0.23533341,0.00388849,0.00369331,0.00138766,0.00026888,0.75541180,0.00000183
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,63,7,-75.225136,26.164913,0.03798562,0.00000333,0.01469838,0.00165974,0.29073650,0.00002660,0.00000995,0.65487993
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,64,7,-93.102455,-2.917595,0.00000000,0.00000000,0.00150457,0.00000000,0.00000152,0.00000000,0.00000000,0.99849391
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,65,0,49.177891,34.486565,0.51257056,0.00028273,0.00021790,0.43693554,0.04855455,0.00128828,0.00003306,0.00011738
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,66,4,6.184006,36.654461,0.22437724,0.00009263,0.00009794,0.00365023,0.77045321,0.00119734,0.00002175,0.00010970
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,67,1,18.831503,-88.480644,0.00001179,0.98503101,0.00000075,0.00515798,0.00002322,0.00443389,0.00534136,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,68,7,-79.341194,26.532167,0.00000152,0.00001463,0.11653995,0.00000229,0.00061909,0.00000002,0.00003630,0.88278621
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,69,2,-72.350487,32.879391,0.00000225,0.00002353,0.51611304,0.00002076,0.01778508,0.00000001,0.00002794,0.46602741
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,70,1,5.302764,-92.915924,0.00001298,0.92442501,0.00003137,0.00147400,0.00009753,0.00142533,0.07253373,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,71,3,42.703621,25.957628,0.00187899,0.00227639,0.00000129,0.24264032,0.00106389,0.75112325,0.00101588,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,72,3,73.180283,-2.704317,0.00090048,0.03584398,0.00002830,0.93371403,0.01410606,0.01319472,0.00221227,0.00000018
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,73,4,2.204671,37.427193,0.07478647,0.00003718,0.00011636,0.01942456,0.90238315,0.00324969,0.00000154,0.00000100
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,74,3,54.950638,37.677662,0.08470458,0.13310254,0.00012334,0.54488468,0.05235966,0.09682133,0.08800361,0.00000024
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,75,6,-66.429520,-35.176010,0.00000039,0.02472266,0.00030588,0.00004600,0.00001276,0.00000313,0.97490680,0.00000240
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,76,1,-13.643317,-89.278229,0.00000023,0.77922732,0.00094461,0.00014900,0.00003807,0.00000970,0.21963024,0.00000080
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,77,0,16.825344,20.298540,0.99512982,0.00000004,0.00000000,0.00011038,0.00001127,0.00474849,0.00000000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,78,6,-69.606140,-35.087467,0.00000085,0.01768464,0.00081805,0.00004736,0.00002229,0.00001164,0.98136729,0.00004785
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,79,1,-8.430620,-92.040916,0.00001075,0.82998562,0.00000508,0.00300938,0.00002076,0.00069715,0.16627121,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,80,3,74.894661,-17.048651,0.02476813,0.00000955,0.00002416,0.96827871,0.00649694,0.00041908,0.00000069,0.00000275
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,81,5,56.120934,27.294239,0.00628023,0.00030755,0.00000137,0.74653679,0.00965522,0.23721531,0.00000351,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,82,1,27.088682,32.203876,0.43271804,0.07653443,0.00128277,0.04497614,0.07154834,0.22823177,0.14443350,0.00027499
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,83,7,-74.946671,30.437344,0.00011354,0.00175113,0.29598808,0.00042508,0.02270414,0.00000583,0.00037132,0.67864090
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,84,3,78.527397,10.210442,0.01645105,0.04790946,0.00001656,0.87165207,0.00301278,0.03787638,0.02308141,0.00000030
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,85,4,1.986273,40.340794,0.03223056,0.01940661,0.00414675,0.05716380,0.87531960,0.00785769,0.00380440,0.00007052
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,86,7,-94.484177,-15.784131,0.00000001,0.00000001,0.00030481,0.00000002,0.00002041,0.00000000,0.00000002,0.99967480
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,87,1,5.122938,-90.252281,0.00163411,0.90376776,0.00081424,0.00196898,0.01653087,0.01871908,0.05656430,0.00000071
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,88,0,18.293278,24.235924,0.97601795,0.00000515,0.00000002,0.00087702,0.00008686,0.02301231,0.00000053,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,89,3,64.473152,6.273298,0.00496136,0.00284787,0.00240932,0.90259093,0.08622736,0.00068597,0.00011887,0.00015841
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,90,2,-68.421341,37.228458,0.00000005,0.00000060,0.84067428,0.00000052,0.00019436,0.00000000,0.00000490,0.15912525
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,91,2,-58.011646,48.716770,0.00004720,0.00051291,0.97516370,0.00003023,0.02253370,0.00000403,0.00077434,0.00093387
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,92,4,-2.061176,39.357876,0.00349467,0.00014350,0.00092848,0.02634249,0.96896130,0.00003441,0.00000520,0.00008988
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,93,4,-0.891649,39.622593,0.01473171,0.00025335,0.00005439,0.03544321,0.94792777,0.00158399,0.00000528,0.00000032
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,94,3,72.933037,-34.057243,0.00062902,0.00585226,0.00000360,0.99208403,0.00054110,0.00069513,0.00019491,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,95,1,-31.890110,-73.969322,0.00001345,0.39914480,0.00016437,0.00275961,0.00021410,0.00161622,0.59608680,0.00000064
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,96,2,-25.924248,69.357193,0.00025333,0.05123640,0.78440672,0.00195038,0.02010645,0.00040814,0.13836943,0.00326912
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,97,1,4.912833,-92.965988,0.00000033,0.92160004,0.00000001,0.00007797,0.00000007,0.00435004,0.07397158,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,98,7,-92.750755,-1.733514,0.00000000,0.00000006,0.00171936,0.00000008,0.00003059,0.00000000,0.00000025,0.99824959
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,99,7,-94.616257,-15.175981,0.00000000,0.00000000,0.00034332,0.00000000,0.00000013,0.00000000,0.00000000,0.99965656
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,100,2,-32.552235,62.923161,0.00065552,0.00017978,0.85652328,0.00049699,0.12039576,0.00005995,0.00129230,0.02039650
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,101,5,41.881058,9.514623,0.00209280,0.00003947,0.00000174,0.00263950,0.00001192,0.99519604,0.00001848,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,102,5,60.298382,11.464932,0.00455104,0.02508602,0.00138161,0.70030713,0.26758495,0.00054724,0.00052830,0.00001371
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,103,4,-2.723320,40.220703,0.00448967,0.00256829,0.01835451,0.01097504,0.95443898,0.00583690,0.00311354,0.00022305
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,104,7,-94.173271,-19.301130,0.00000001,0.00000000,0.00010020,0.00000001,0.00000602,0.00000000,0.00000000,0.99989378
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,105,3,69.844627,7.757132,0.08126713,0.00027836,0.00000143,0.90938210,0.00194327,0.00712275,0.00000496,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,106,2,-60.105091,48.649719,0.00002680,0.00003672,0.98986697,0.00033716,0.00934951,0.00000395,0.00016874,0.00021015
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,107,6,-61.293987,-37.021687,0.00000362,0.03338450,0.00000165,0.00002961,0.00000422,0.00759439,0.95898205,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,108,2,-23.303137,75.518723,0.00048670,0.03342308,0.76540977,0.04839453,0.08995603,0.02726643,0.03504660,0.00001680
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,109,3,57.663815,26.664131,0.05393545,0.00004096,0.00000048,0.78910035,0.00047505,0.15643935,0.00000835,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,110,3,63.319653,9.107211,0.00789538,0.01795054,0.00337922,0.84432220,0.10341256,0.02197451,0.00105819,0.00000734
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,111,6,-32.967319,-69.554092,0.00000715,0.27397293,0.17795417,0.00524839,0.00104962,0.00001822,0.54142088,0.00032872
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,112,5,28.235487,28.170944,0.54299909,0.00034856,0.00000534,0.01224535,0.02197574,0.42233998,0.00008577,0.00000012
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,113,6,-37.076675,-58.567413,0.00018714,0.01886225,0.22831260,0.00133323,0.01113551,0.00004000,0.69793397,0.04219526
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,114,6,-63.766190,-36.046402,0.00007348,0.02745078,0.00045100,0.00093684,0.00016837,0.00579691,0.96512234,0.00000022
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,115,0,15.930771,19.316151,0.99892139,0.00000001,0.00000001,0.00025482,0.00045643,0.00036737,0.00000000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,116,0,18.029354,24.438942,0.97297633,0.00002083,0.00000013,0.00592164,0.00333200,0.01774796,0.00000113,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,117,6,-17.963514,-85.392227,0.00000038,0.72169948,0.00000073,0.00017786,0.00000037,0.00043269,0.27768853,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,118,2,-57.334438,49.943382,0.00006057,0.00068900,0.96001440,0.00014803,0.01973686,0.00000619,0.01795842,0.00138644
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,119,6,-45.411198,-58.534191,0.00000231,0.12719414,0.02643227,0.00012327,0.00006975,0.00000295,0.84603971,0.00013560
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,120,5,42.591503,10.346369,0.00063839,0.00001487,0.00000000,0.00457440,0.00000489,0.99476731,0.00000015,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,121,7,-93.509972,-14.711358,0.00000048,0.00000001,0.00027521,0.00000014,0.00014831,0.00000000,0.00000002,0.99957591
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,122,3,64.854317,5.042011,0.00765262,0.00085205,0.00032605,0.92361128,0.05349958,0.01402408,0.00002973,0.00000465
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,123,1,-11.059475,-82.444984,0.00029332,0.56361109,0.14642672,0.04797428,0.15064204,0.00003337,0.08654275,0.00447645
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,124,7,-94.426689,-7.621365,0.00000000,0.00000000,0.00082761,0.00000000,0.00000727,0.00000000,0.00000000,0.99916518
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,125,1,11.189391,-90.891846,0.00027855,0.94997358,0.00015540,0.00550961,0.00582655,0.00202042,0.03623575,0.00000011
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,126,4,32.400890,24.218649,0.20689897,0.00107690,0.00000503,0.00780030,0.04457978,0.73944288,0.00019613,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,127,7,-87.187309,10.858404,0.00000009,0.00000159,0.00787694,0.00000070,0.00025197,0.00000000,0.00000311,0.99186558
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,128,2,-56.455681,49.237045,0.00001220,0.00239292,0.96059841,0.00027923,0.03580043,0.00000517,0.00074257,0.00016894
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,129,2,-26.009502,69.132408,0.00006281,0.02450990,0.83493328,0.00083769,0.00612310,0.00034880,0.13312143,0.00006306
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,130,2,-63.862640,42.741592,0.00017583,0.00010166,0.96555972,0.00059406,0.01216648,0.00000328,0.00041721,0.02098173
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,131,5,21.669531,29.381941,0.79013759,0.00021857,0.00000116,0.04123660,0.06956437,0.09883998,0.00000164,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,132,5,47.208179,27.688280,0.00136543,0.03661875,0.00000005,0.42288858,0.00012943,0.53712410,0.00187368,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,133,4,-1.050447,37.427750,0.03038749,0.00004027,0.00224090,0.01595272,0.95083159,0.00026020,0.00000654,0.00028026
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,134,1,6.407495,-92.757393,0.00000828,0.93044919,0.00001157,0.00049009,0.00008600,0.00021083,0.06874400,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,135,3,43.368984,3.276610,0.00004405,0.00000001,0.00000000,0.00004527,0.00000001,0.99991059,0.00000000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,136,1,-9.180803,-86.292488,0.00097489,0.74743462,0.00020353,0.09674621,0.00481201,0.00547924,0.14434953,0.00000002
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,137,4,-2.192460,37.030441,0.02235959,0.00071233,0.00150933,0.00798882,0.96566743,0.00150758,0.00024067,0.00001433
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,138,1,-13.616508,-87.548286,0.00021986,0.75672877,0.00050533,0.02725165,0.00159932,0.00141064,0.21228236,0.00000198
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,139,2,-77.591255,28.415133,0.00000000,0.00000005,0.17247754,0.00000001,0.00001904,0.00000000,0.00000021,0.82750309
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,140,1,14.214540,-90.869545,0.00000061,0.96557325,0.00000011,0.00045729,0.00000078,0.00624792,0.02772000,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,141,1,-28.248240,-73.025497,0.00004781,0.35576409,0.00001677,0.00044805,0.00009173,0.18775791,0.45587358,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,142,6,-70.334351,31.461763,0.00000520,0.06278943,0.37429985,0.00019697,0.00382043,0.00000041,0.21895105,0.33993655
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,143,6,-55.322483,-41.335869,0.00016235,0.05058356,0.00007149,0.00272816,0.00008944,0.00551541,0.94084954,0.00000003
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,144,1,38.026871,28.681664,0.00973414,0.15440361,0.00000031,0.04856895,0.00067465,0.78190392,0.00471438,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,145,4,6.847164,42.456291,0.00374960,0.01402552,0.00659704,0.30237842,0.66987383,0.00088628,0.00210787,0.00038145
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,146,1,-2.148255,-93.288902,0.00000038,0.88199103,0.00000420,0.00022849,0.00000327,0.00000200,0.11777063,0.00000001
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,147,1,-5.682693,-85.113640,0.00167537,0.78682917,0.00000208,0.11577277,0.00063880,0.06235569,0.03272604,0.00000000
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,148,3,22.481895,33.442860,0.54762775,0.00273872,0.00000450,0.32864919,0.02177190,0.09914324,0.00006460,0.00000009
bloodmnist_224,ResNet,3,0.01,LAMP-Merge,149,1,-12.407113,-89.583778,0.00048345,0.78321648,0.00091683,0.01383540,0.00293136,0.00044842,0.19810671,0.00006127
